CAMPUS,APPOINTMENT_TITLE,APPOINTING_DEPT,APPT_ANNUAL_FTR,APPT_FTR_BASIS,APPT_FRACTION,AMT_OF_SALARY_PAID_FROM_GENL_FUND
Ann Arbor,REGISTERED NURSE - LEVEL C,MM Emergency Department,75212.80,12-Month,0.9,0
Ann Arbor,FOOD SERVICE MANAGER,MM PFANS Call Center,63783.64,12-Month,1,0
Ann Arbor,HOUSE OFFICER IV,MM H.O. Emergency Med Core,74205.00,12-Month,1,0
Ann Arbor,CLINICAL PROFESSOR,MM Int Med-Cardiology,225000.00,12-Month,0.37,0
Ann Arbor,PATIENT TRANSPORTER,MM Logistics Patient Transport,38875.20,12-Month,1,0
Ann Arbor,STOCKKEEPER II,MM Mat'l Mgmt-Specialty Stckng,45884.80,12-Month,0.8,0
Ann Arbor,PA SURGICAL SPECIALTY,MM Surgery Pre-Op Center,121946.00,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM Post Anes Care Unit - UH,75212.80,12-Month,0.87,0
Ann Arbor,CLINICAL SUBJECTS COORDINATOR,PHARMACY Clinical Pharmacy,55212.00,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,MM Int Med-Hematology/Oncology,54835.00,12-Month,1,0
Ann Arbor,UNIT CUSTODIAN,MM Environmental Svcs - DAYS,38875.20,12-Month,1,0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,40164.80,12-Month,0.4,0
Ann Arbor,HOSP COMM OPER I,MM Paging Services,48963.20,12-Month,0.6,0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Infectious Diseases,193325.00,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,LSA American Culture,112853.00,9-Month,1,56426.50
Ann Arbor,CLINICAL INSTRUCTOR,MM Int Med-Hospital Medicine,216524.00,12-Month,1,0
Ann Arbor,OFFICE ADMIN ASSOC SUPR,ROSS SCH Operations,50507.04,12-Month,1,50507.06
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW VVWH,116459.20,12-Month,0.9,0
Ann Arbor,PROJECT SENIOR MANAGER,MM POM ACO,105000.00,12-Month,1,0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Rheumatology,189943.00,12-Month,0.8,0
Ann Arbor,CLINICAL ASST PROF,MM Pathology Department,146614.00,12-Month,1,0
Ann Arbor,ADMIN COORD/PROJECT COORD,School of Nursing,50300.38,12-Month,1,40240.32
Ann Arbor,REGISTERED NURSE - LEVEL A,MM UH CVC 6B1,75088.00,12-Month,0.8,0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,40164.80,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC 8C,75212.80,12-Month,0.9,0
Ann Arbor,SOCIAL WORKER MSW,MM Soc Wrk - Adm & Guest Suprt,69041.97,12-Month,1,0
Ann Arbor,ADJUNCT RES INVESTIGATOR,MM Int Med-Nephrology,73341.00,12-Month,1,0
Ann Arbor,RESEARCH AREA SPECIALIST ASSOC,MM Family Medicine,42845.00,12-Month,0.5,0
Ann Arbor,PROFESSOR,Biostatistics Department,218250.00,9-Month,0.25,17194.28
Ann Arbor,MEDICAL ASSISTANT ASSOCIATE,MM Livonia Clinic Main,39006.07,12-Month,1,0
Ann Arbor,OPHTHALMIC TECHNICIAN SENIOR,MM KEC Neuro/Plastics,73602.17,12-Month,1,0
Ann Arbor,RESEARCH LABORATORY TECH ASSOC,MM Neurosurgery,33440.02,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,LSA Classical Studies,93796.00,9-Month,1,93796.00
Ann Arbor,PROFESSOR,Psychiatry Department,220000.00,12-Month,1,90820.40
Ann Arbor,RESEARCH AREA SPECIALIST SR,School of Social Work,111999.21,12-Month,1,26879.81
Ann Arbor,HOUSE OFFICER III,MM H.O. Family Medicine,70671.00,12-Month,1,0
Ann Arbor,CUSTODIAN II,Building Services,40164.80,12-Month,1,40164.80
Ann Arbor,ELECTRICIAN,Construction Services,92726.40,12-Month,1,0
Ann Arbor,STOCKKEEPER I,MM Mat'l Mgmt - Warehouse Ops,41537.60,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW VVWH,116459.20,12-Month,0.9,0
Ann Arbor,GME PROGRAM ADMIN SENIOR,MM Family Medicine,77330.00,12-Month,1,0
Ann Arbor,COOK I,MI Dining - Administration,40164.80,12-Month,1,0
Ann Arbor,FOOD SERVICE MANAGER,MM Patient Food Service,70527.14,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,MM Surgery Department,55500.00,12-Month,1,0
Ann Arbor,WORKFORCE PLANNING SPEC SR,"SL AVP -Fin, HR, Tech",80080.00,12-Month,1,80080.00
Ann Arbor,AMBULANCE COMM SPEC,MM Survival Flight,61796.80,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,MM Emergency Medicine UM Adult,225000.00,12-Month,0.12,0
Ann Arbor,PUBLIC RELATIONS REP SENIOR,Athletics,133770.00,12-Month,1,0
Ann Arbor,MARKETING MANAGER,Athletics,136240.00,12-Month,1,0
Ann Arbor,MENTAL HEALTH CASE MANAGER,C.A.R.E. Center,59000.00,12-Month,0.8,47200.00
Ann Arbor,ASST PROFESSOR,LSA Linguistics,95001.00,9-Month,1,95001.00
Ann Arbor,HOUSE OFFICER V,MM H.O. Internal Med Pulmona,77915.00,12-Month,1,0
Ann Arbor,SOCIAL WORK MANAGER,MM Soc Wrk - Adm & Guest Suprt,116723.25,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,LSA Linguistics,122410.00,9-Month,1,122410.00
Ann Arbor,CLINICAL ASST PROF,MM Cardiac Surgery,165000.00,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,MM PM&R,57577.00,12-Month,1,0
Ann Arbor,CLINICAL ASST PROF,MM Family Medicine,108576.00,12-Month,0.8,0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-General Medicine,209000.00,12-Month,1,0
Ann Arbor,CUSTOMER SERVICE SUPERVISOR,Univ Parking Svcs-Medical Camp,55683.06,12-Month,1,0
Ann Arbor,ANIMAL TECHNICIAN SENIOR,MM Lab Animal Medicine Unit,49500.48,12-Month,1,0
Ann Arbor,ADMIN ASST SR HEALTHCARE,MM MI Diabetes Research Trning,52250.08,12-Month,1,52250.00
Ann Arbor,RESEARCH AREA SPECIALIST LEAD,eHAIL,85000.00,12-Month,1,85000.00
Ann Arbor,SCIENTIFIC/BIOLGCL ILLUSTRATOR,LSA Paleontology Museum,81471.19,12-Month,1,81471.19
Ann Arbor,RESEARCH INVESTIGATOR,MM Orthopaedic Surgery,111935.00,12-Month,1,0
Ann Arbor,MEDICAL TECHNOLOGIST,MM Molecular Diagnostics,79834.97,12-Month,1,0
Ann Arbor,PHYSCL PLT/FAC MGMT ASSOC DIR,Student Life Facilities Centra,133737.18,12-Month,1,0
Ann Arbor,PHLEBOTOMIST SPECIALIST,MM Path I/P Phlebotomy,42994.38,12-Month,0.5,0
Ann Arbor,BUSINESS SYSTEMS ANALYST SR,MM Access & Insights,78573.55,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM Mich Visiting Nurse Assoc,78145.60,12-Month,1,0
Ann Arbor,CUSTODIAN I,Building Services,37627.20,12-Month,1,37627.20
Ann Arbor,CLIN CARE COORD COMPETENT-NE,MM Gen Surg Clinic - Tech,89148.80,12-Month,1,0
Ann Arbor,RESEARCH LAB SPECIALIST SENIOR,MM Pharmacology Department,64443.49,12-Month,1,0
Ann Arbor,PATIENT EQUIP ATTENDANT,MM Logistics Patient Equipment,43804.80,12-Month,0.4,0
Ann Arbor,RESEARCH FELLOW,LSA Chemistry,52000.00,12-Month,1,0
Ann Arbor,PATIENT SERVICES ASSOCIATE,MM Oral Surg Med Inn Clinic,44319.43,12-Month,1,0
Ann Arbor,CHEF ASST,MI Dining - Administration,48963.20,12-Month,1,0
Ann Arbor,STATISTICIAN LEAD,Biostatistics Department,107406.00,12-Month,1,0
Ann Arbor,NURSE ANESTHETIST,MM CW Anesthesia CRNA - Mott,248187.15,12-Month,1,0
Ann Arbor,TRAINING SPECIALIST SENIOR,Shared Services Center,74000.00,12-Month,1,74000.00
Ann Arbor,ASST RES SCIENTIST,SRC-Hrs,152000.00,12-Month,1,0
Ann Arbor,CALL CENTER REP INTER,MM Contact Center-Cancer,41693.72,12-Month,1,0
Ann Arbor,RESPIRATORY THERAPIST INTER,MM Resp/Cardiov Svcs,74250.45,12-Month,1,0
Ann Arbor,SR ASSOC LIBR LEO-GLAM,Library Collect - Tech Service,85642.23,12-Month,1,85642.23
Ann Arbor,RESEARCH LAB SPECIALIST INTER,DENT Bio & Materials Science,52280.00,12-Month,1,20912.00
Ann Arbor,BUSINESS ADMINISTRATOR SENIOR,LSA Linguistics,111780.00,12-Month,0.33,37166.85
Ann Arbor,BUSINESS ADMINISTRATOR SENIOR,LSA Linguistics: Weinberg ICS,111780.00,12-Month,0.33,37166.85
Ann Arbor,BUSINESS ADMINISTRATOR SENIOR,LSA UG: Residential College,111780.00,12-Month,0.33,37446.30
Ann Arbor,RESEARCH FELLOW,Chemical Engineering Dept,55224.00,12-Month,1,13806.00
Ann Arbor,EXECUTIVE SECRETARY,LSA Economics,75156.00,12-Month,1,75156.00
Ann Arbor,RESEARCH AREA SPECIALIST INTER,MM Pediatrics-Endocrinology,63806.03,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,Architecture,99926.12,9-Month,1,99926.12
Ann Arbor,PATIENT CARE TECH ASSOCIATE,MM UH CVC 4C,37813.58,12-Month,0.8,0
Ann Arbor,EXECUTIVE SECRETARY,School of Nursing,60683.48,12-Month,1,60683.48
Ann Arbor,CLINICAL ASSOC PROF,MM Rad Oncology-Providence,316178.00,12-Month,1,0
Ann Arbor,CLINICAL INSTRUCTOR,MM Pediatrics Primary Care,158319.00,12-Month,0.66,0
Ann Arbor,RESEARCH AREA SPECIALIST ASSOC,MM Heinz C. Prechter Bipolar R,51466.25,12-Month,1,0
Ann Arbor,PHARMACY TECHNICIAN ASSOC,MM CVC Pharmacy Services,41706.08,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 10E,116459.20,12-Month,0.75,0
Ann Arbor,APP PROGRAMMER/ANALYST SR,MM HITS EI Unix Hosting Svcs,109030.72,12-Month,1,0
Ann Arbor,BRAND/PRODUCT ANALYST INTER,MM Dept of Communication,73150.00,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL A,MM UH CVC 6B1,75088.00,12-Month,0.9,0
Ann Arbor,MEDICAL ASSISTANT,Health Svc Clinic Operations,35204.00,12-Month,1,0
Ann Arbor,CUSTODIAL SERVICES MANAGER,MM Environmental Svcs - Admin,79169.20,12-Month,1,0
Ann Arbor,MEDICAL ASSISTANT ASSOCIATE,MM Taubman Neurology,37869.26,12-Month,1,0
Ann Arbor,ERP BUSINESS ANALYST INTER,ITS EAS Research,72100.00,12-Month,1,72100.00
Ann Arbor,LEO LECTURER III,Architecture,59052.23,9-Month,1,59052.23
Ann Arbor,CLINICAL ASSOC PROF,MM Peds-Hematology/Oncology,140145.00,12-Month,1,1401.45
Ann Arbor,LEO LECTURER I,School of Nursing,52402.50,8-Month,0.37,19030.40
Ann Arbor,RESEARCH TECHNICIAN ASSOCIATE,LSA Psychology,32999.98,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC Trauma Burn,86902.40,12-Month,0.9,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM Oper Rooms - Univ Hospital,118788.80,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,MM Int Med-Hematology/Oncology,56000.00,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,Biostatistics Department,58000.00,12-Month,1,29000.00
Ann Arbor,PATIENT CARE TECH ASSOCIATE,MM UH CVC 4A,37040.05,12-Month,0.5,0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Pulm./Critical Care,225000.00,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,Biomedical Engineering,61800.00,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM PM&R Spine Fluoroscopy,78145.60,12-Month,0.5,0
Ann Arbor,COOK I,MI Dining - Administration,40164.80,12-Month,1,0
Ann Arbor,TRAINING SPECIALIST INTER,MM Clinical Lab Admin,59576.50,12-Month,1,0
Ann Arbor,APP SYS ANALYST/PROGRAMMER SR,ITS EAS Research,90305.00,12-Month,1,90305.00
Ann Arbor,APP PROGRAMMER/ANALYST SR,SRO Technical Services,97968.00,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,LSA Psychology,110807.00,9-Month,1,110807.00
Ann Arbor,PROFESSOR,School of Information,185665.00,9-Month,0.5,92832.00
Ann Arbor,PROFESSOR,EECS - CSE Division,184849.00,9-Month,0.5,86879.03
Ann Arbor,STUDENT AFFAIRS ASSOCIATE DIR,Central Administration,86456.26,12-Month,1,0
Ann Arbor,PATIENT SERVICES ASSOCIATE,MM - Northville RAD,48485.68,12-Month,1,0
Ann Arbor,PATIENT SERVICES INTERMEDIATE,MM - TC - Transplant Clinic,44987.54,12-Month,1,0
Ann Arbor,ADMIN MANAGER INTER HEALTHCARE,MM Radiology UH,125097.97,12-Month,1,0
Ann Arbor,FOOD SERVICE SENIOR SUPERVISOR,MI Dining - Administration,52000.00,12-Month,1,0
Ann Arbor,PA MEDICAL SPECIALTY,MM BMT Inpt NP/PA Cancer Ctr,123531.00,12-Month,1,0
Ann Arbor,ADMIN MANAGER INTER HEALTHCARE,MM CW Mich Medical Gntcs Lbs,102500.00,12-Month,1,0
Ann Arbor,PATIENT CARE TECH ASSOCIATE,MM UH CVC 8B2,38168.00,12-Month,0.9,0
Ann Arbor,REGISTERED NURSE - LEVEL A,MM CW 12E,71323.20,12-Month,0.8,0
Ann Arbor,HR ASSISTANT SENIOR,LSA Dean: Human Resources,57135.00,12-Month,1,57135.00
Ann Arbor,RESEARCH AREA SPECIALIST INTER,"SRO Design, Meth, Stat Support",68300.00,12-Month,1,0
Ann Arbor,CUSTODIAN I,Building Services,37627.20,12-Month,1,37627.20
Ann Arbor,RESEARCH FELLOW,LSA Complex Systems,51500.00,12-Month,1,0
Ann Arbor,LIBRARY MAT RM DELIVERY DRIVER,Library Operations-Facilities,48963.20,12-Month,1,48963.20
Ann Arbor,RESEARCH FELLOW,MM Microbiology and Immunology,55375.00,12-Month,1,0
Ann Arbor,COMMUNICATIONS SPECIALIST,MM Eisenberg Family Depression,58250.00,12-Month,1,0
Ann Arbor,RESEARCH TECHNICIAN SENIOR,MM Psych HlthSvc Outcome Rsrch,38000.04,12-Month,1,0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,40164.80,12-Month,1,0
Ann Arbor,CUSTODIAN II,Student Life Facilities North,40164.80,12-Month,1,0
Ann Arbor,FOOD SVC WORKER I,MI Dining - Administration,37627.20,12-Month,1,0
Ann Arbor,KITCHEN CLEANER,MI Dining - Administration,40164.80,12-Month,1,0
Ann Arbor,SR BILL CLK/PAT ACCT REP HLTH,MM Rev Cycle (PTO),45828.73,12-Month,1,0
Ann Arbor,OR INSTRUMENT PROCESSOR I,MM Oper Rooms - UH - Inst,45884.80,12-Month,1,0
Ann Arbor,CUSTODIAN II,Building Services,40164.80,12-Month,1,0
Ann Arbor,FOOD SVC WORKER II,MM CW Food Procure/Production,38875.20,12-Month,1,0
Ann Arbor,ASSOC ARCHIVIST LEO-GLAM,Bentley Historical Library,71870.00,12-Month,1,71870.00
Ann Arbor,CUSTODIAN I,Building Services,37627.20,12-Month,1,37627.20
Ann Arbor,REGISTERED NURSE - LEVEL D,MM Nsg Clin Support Vast,120452.80,12-Month,0.9,0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,40164.80,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC CSR Adult,116459.20,12-Month,0.5,0
Ann Arbor,EXEC SECRETARY TO TOP EXEC,UMS Administration,78030.00,12-Month,1,0
Ann Arbor,NURSING SUPERVISOR,MM HomeMed Pharmacy Infusion,125164.00,12-Month,1,0
Ann Arbor,STOCKKEEPER I,MM Mat'l Mgmt - Warehouse Ops,41537.60,12-Month,0.8,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC CVC5,96324.80,12-Month,0.8,0
Ann Arbor,ADMINISTRATIVE ASSISTANT SR,Hlth Behavior & Hlth Ed Dept,51000.04,12-Month,1,51000.00
Ann Arbor,PHYSICAL THERAPIST,MM BCSC CMC Therapy,100982.53,12-Month,1,0
Ann Arbor,CLINICAL PHARMACIST SPECIALIST,MM Research Pharmacy,159135.05,12-Month,1,0
Ann Arbor,MEDICAL ASSISTANT ASSOCIATE,MM WAA-PP Internal Medicine,44048.82,12-Month,1,0
Ann Arbor,SOLUTION ARCHITECT INTER,MM HITS BusIT Adm Applications,114534.83,12-Month,1,0
Ann Arbor,CUSTODIAL SERVICES MANAGER,Building Services,97060.00,12-Month,1,97060.00
Ann Arbor,PHARMACY TECHNICIAN ASSOC,MM Ambulatory Pharmacy,44932.94,12-Month,1,0
Ann Arbor,ADMIN ASST SR HEALTHCARE,MM Nursing Amb Care Admin,61499.30,12-Month,1,0
Ann Arbor,FOOD SERVICE SENIOR SUPERVISOR,MI Dining - Administration,58682.40,12-Month,0.75,0
Ann Arbor,SOCIAL WORKER MSW,MM Soc Wrk - Adm & Guest Suprt,69041.97,12-Month,1,0
Ann Arbor,PATIENT SERVICES ASSOCIATE,MM CVC Clinic,45804.82,12-Month,1,0
Ann Arbor,HELP DESK SPT SVC SPEC INTER,ITS ARC Advanced Research Comp,54499.90,12-Month,1,16350.00
Ann Arbor,PA SURGICAL SPECIALTY,MM Gen Surg Clinic - Tech,120381.00,12-Month,1,0
Ann Arbor,RESEARCH SENIOR SUPERVISOR,MM BRCF Flow Cytometry Core,150270.18,12-Month,1,0
Ann Arbor,UNIT CUSTODIAN,MM CW Environmental Svs-Days,38875.20,12-Month,0.8,0
Ann Arbor,DESKTOP SUPPORT MANAGER,ITS SS MiWorkspace,113651.00,12-Month,1,0
Ann Arbor,BRAND/PRODUCT ANALYST INTER,MM HITS BusIT Cust Experience,61655.00,12-Month,1,0
Ann Arbor,FINANCIAL SPECIALIST SENIOR,MM Pharmacy Administration,65908.15,12-Month,1,0
Ann Arbor,PROFESSOR,LSA Physics,166491.00,9-Month,1,166491.00
Ann Arbor,BIOMED ENG TECH 3 CLIN ENGR,MM Clinical Engineering Svcs,83678.40,12-Month,1,0
Ann Arbor,PATIENT SERVICES INTERMEDIATE,MM KEC Call Center,46198.24,12-Month,1,0
Ann Arbor,CALL CENTER REP INTER,MM Contact Center-Medical Spec,44089.57,12-Month,1,0
Ann Arbor,ADMINISTRATIVE ASSISTANT INTER,MI Dining - Administration,43679.88,12-Month,1,0
Ann Arbor,CALL CENTER SR SUPR INBOUND,Shared Services Center - HR,66381.55,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM BCSC PACU/Short Stay,116459.20,12-Month,0.9,0
Ann Arbor,LEO LECTURER II,Law School,153414.73,8-Month,1,148570.08
Ann Arbor,CALL CENTER REP INTER,MM Contact Center-MPU,38884.07,12-Month,1,0
Ann Arbor,SURGICAL TECHNOLOGIST SENIOR,MM Oper Rooms - Univ Hospital,60226.38,12-Month,0.9,0
Ann Arbor,CUSTOMER HELP DESK TECH SENIOR,ITS SS Service Center,55099.98,12-Month,1,41325.00
Ann Arbor,REGISTERED NURSE - LEVEL E,MM UH CVC 7D,122324.80,12-Month,0.9,0
Ann Arbor,SURGICAL TECH SPECIALIST,MM Oper Rooms - Univ Hospital,66277.14,12-Month,0.9,0
Ann Arbor,HOUSE OFFICER II,MM H.O. Pediatrics Core,67306.00,12-Month,1,0
Ann Arbor,COUNSELING PSYCHOLOGIST,Counseling Services,70435.00,12-Month,1,70435.00
Ann Arbor,INSTRUMENT/STER PROCESSOR,DENT Patient Services,43804.80,12-Month,1,0
Ann Arbor,PATIENT SERVICES INTERMEDIATE,MM CW Peds Specialties - Core,48669.35,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 7E,89918.40,12-Month,1,0
Ann Arbor,CUSTODIAN I,MM Environmental Svcs - DAYS,37627.20,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 8W,76273.60,12-Month,0.8,0
Ann Arbor,MAINTENANCE MECHANIC III,North Campus Region,59321.60,12-Month,1,59321.60
Ann Arbor,COMMUNICATIONS MANAGER,LSA Dean: Advancement,87000.00,12-Month,1,87000.00
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW Post Anes Care Unit-Mott,96324.80,12-Month,0.6,0
Ann Arbor,ASST PROFESSOR,MM Int Med-Gastroenterology,225000.00,12-Month,0.12,0
Ann Arbor,CLINICAL INSTRUCTOR,MM Int Med-Hospital Medicine,223000.00,12-Month,1,0
Ann Arbor,FINANCIAL OR BUS ANALYST SR,MM Path MLabs Division,77604.84,12-Month,1,0
Ann Arbor,PROFESSOR,Law School,293865.90,9-Month,1,205706.13
Ann Arbor,FINANCIAL SPECIALIST SENIOR,MM Department of Pediatrics,82032.50,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,Architecture,104915.96,9-Month,1,104915.96
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 10W,76648.00,12-Month,0.9,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC 7W,81099.20,12-Month,0.6,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 7E,116459.20,12-Month,0.5,0
Ann Arbor,STUDENT ADMIN ASST INTER,CoE Integrative Sys & Design,58141.00,12-Month,1,58141.00
Ann Arbor,TEACHER ASSISTANT,UM Children's Centers,40164.00,12-Month,1,0
Ann Arbor,AUDIO/VISUAL PROD INTER SUPR,LSA Dean: TS Support Services,67275.00,12-Month,1,67275.00
Ann Arbor,DESKTOP SUPPORT SPECIALIST SR,MM HITS ETS DeviceOps-MCD,73055.51,12-Month,1,0
Ann Arbor,SURGICAL TECH SPECIALIST,MM Oper Rooms - Univ Hospital,74576.76,12-Month,0.9,0
Ann Arbor,ANNUAL GIVING OFFICER SENIOR,DENT Dev & Alumni Relations,73954.64,12-Month,1,73954.64
Ann Arbor,PLAC/CAREER SVC ASSOC DIR UNIT,ROSS SCH Career Development Of,85000.00,12-Month,1,85000.00
Ann Arbor,PROFESSOR,LSA Economics,225000.00,9-Month,1,180000.00
Ann Arbor,SR RESEARCH FELLOW,G. Ford Sc Pub Pol,95000.00,12-Month,1,95000.00
Ann Arbor,ACADEMIC PROGRAM MANAGER,SOE-Educational Studies,70000.00,12-Month,1,70000.00
Ann Arbor,MEDICAL ASSISTANT SENIOR,MM Taubman Medical Specialties,51894.97,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 10W,116459.20,12-Month,0.5,0
Ann Arbor,ASSOC PROFESSOR,School of Information,166092.00,9-Month,1,166092.00
